t,temp
1982-07-10,25.06999969482422
1982-07-11,25.239999771118164
1982-07-12,25.200000762939453
1982-07-13,24.8799991607666
1982-07-14,24.719999313354492
1982-07-15,24.649999618530273
1982-07-16,24.739999771118164
1982-07-17,25.18000030517578
1982-07-18,25.559999465942383
1982-07-19,25.329999923706055
1982-07-20,26.219999313354492
1982-07-21,26.420000076293945
1982-07-22,26.450000762939453
1982-07-23,26.299999237060547
1982-07-24,25.969999313354492
1982-07-25,25.760000228881836
1982-07-26,25.670000076293945
1982-07-27,25.280000686645508
1982-07-28,24.829999923706055
1982-07-29,25.270000457763672
1982-07-30,24.600000381469727
1982-07-31,23.950000762939453
1982-08-01,24.709999084472656
1982-08-02,24.889999389648438
1982-08-03,25.309999465942383
1982-08-04,25.75
1982-08-05,25.770000457763672
1982-08-06,25.229999542236328
1982-08-07,24.969999313354492
1982-08-08,25.399999618530273
1982-08-09,25.75
1982-08-10,25.889999389648438
1982-08-11,25.579999923706055
1982-08-12,25.459999084472656
1982-08-13,25.510000228881836
1982-08-14,25.639999389648438
1982-08-15,26.209999084472656
1982-08-16,26.610000610351562
1982-08-17,26.549999237060547
1982-08-18,26.40999984741211
1982-08-19,25.920000076293945
1982-08-20,25.90999984741211
1982-08-21,24.950000762939453
1982-08-22,23.65999984741211
1982-08-23,23.84000015258789
1982-08-24,24.350000381469727
1982-08-25,24.420000076293945
1982-08-26,23.8700008392334
1982-08-27,23.6200008392334
1982-08-28,23.31999969482422
1982-08-29,23.56999969482422
1982-08-30,23.6200008392334
1982-08-31,23.450000762939453
1982-09-01,23.309999465942383
1982-09-02,23.559999465942383
1982-09-03,23.56999969482422
1982-09-04,23.260000228881836
1982-09-05,23.170000076293945
1982-09-06,23.239999771118164
1982-09-07,23.489999771118164
1982-09-08,23.139999389648438
1982-09-09,23.229999542236328
1982-09-10,23.459999084472656
1982-09-11,23.549999237060547
1982-09-12,23.389999389648438
1982-09-13,23.34000015258789
1982-09-14,23.479999542236328
1982-09-15,23.350000381469727
1982-09-16,23.200000762939453
1982-09-17,23.350000381469727
1982-09-18,23.479999542236328
1982-09-19,23.309999465942383
1982-09-20,23.149999618530273
1982-09-21,22.84000015258789
1982-09-22,23.010000228881836
1982-09-23,23.100000381469727
1982-09-24,23
1982-09-25,22.940000534057617
1982-09-26,22.770000457763672
1982-09-27,22.940000534057617
1982-09-28,23.049999237060547
1982-09-29,23.1200008392334
1982-09-30,22.81999969482422
1982-10-01,22.950000762939453
1982-10-02,22.940000534057617
1982-10-03,22.6200008392334
1982-10-04,22.219999313354492
1982-10-05,21.989999771118164
1982-10-06,21.489999771118164
1982-10-07,21.110000610351562
1982-10-08,20.610000610351562
1982-10-09,20.06999969482422
1982-10-10,20.309999465942383
1982-10-11,21.020000457763672
1982-10-12,21.100000381469727
1982-10-13,21.280000686645508
1982-10-14,20.049999237060547
1982-10-15,20.149999618530273
1982-10-16,20.1200008392334
1982-10-17,19.969999313354492
1982-10-18,19.940000534057617
1982-10-19,19.889999389648438
1982-10-20,19.709999084472656
1982-10-21,19.56999969482422
1982-10-22,19.530000686645508
1982-10-23,19.309999465942383
1982-10-24,19.170000076293945
1982-10-25,19.030000686645508
1982-10-26,19.209999084472656
1982-10-27,19.100000381469727
1982-10-28,18.540000915527344
1982-10-29,18.420000076293945
1982-10-30,18.209999084472656
1982-10-31,18.020000457763672
1982-11-01,18.1200008392334
1982-11-02,17.850000381469727
1982-11-03,17.59000015258789
1982-11-04,17.290000915527344
1982-11-05,17.1299991607666
1982-11-06,17.139999389648438
1982-11-07,17.139999389648438
1982-11-08,17.139999389648438
1982-11-09,17.06999969482422
1982-11-10,17.020000457763672
1982-11-11,16.6200008392334
1982-11-12,16.780000686645508
1982-11-13,16.989999771118164
1982-11-14,17.200000762939453
1982-11-15,17.420000076293945
1982-11-16,17.43000030517578
1982-11-17,17.219999313354492
1982-11-18,16.729999542236328
1982-11-19,16.700000762939453
1982-11-20,16.360000610351562
1982-11-21,16.149999618530273
1982-11-22,15.729999542236328
1982-11-23,15.489999771118164
1982-11-24,15.600000381469727
1982-11-25,15.5600004196167
1982-11-26,15.550000190734863
1982-11-27,15.739999771118164
1982-11-28,15.989999771118164
1982-11-29,16
1982-11-30,15.90999984741211
1982-12-01,15.670000076293945
1982-12-02,14.680000305175781
1982-12-03,14.449999809265137
1982-12-04,14.140000343322754
1982-12-05,13.789999961853027
1982-12-06,13.65999984741211
1982-12-07,13.609999656677246
1982-12-08,14.029999732971191
1982-12-09,14.600000381469727
1982-12-10,14.039999961853027
1982-12-11,14.140000343322754
1982-12-12,14.109999656677246
1982-12-13,14.039999961853027
1982-12-14,14.069999694824219
1982-12-15,14.109999656677246
1982-12-16,13.760000228881836
1982-12-17,13.539999961853027
1982-12-18,12.84000015258789
1982-12-19,13.260000228881836
1982-12-20,13.329999923706055
1982-12-21,14.050000190734863
1982-12-22,14.380000114440918
1982-12-23,14.3100004196167
1982-12-24,13.920000076293945
1982-12-25,13.789999961853027
1982-12-26,13.729999542236328
1982-12-27,13.3100004196167
1982-12-28,13.3100004196167
1982-12-29,13.109999656677246
1982-12-30,12.869999885559082
1982-12-31,12.989999771118164
1983-01-01,13.0600004196167
1983-01-02,12.869999885559082
1983-01-03,12.720000267028809
1983-01-04,12.779999732971191
1983-01-05,12.800000190734863
1983-01-06,12.760000228881836
1983-01-07,12.869999885559082
1983-01-08,12.710000038146973
1983-01-09,12.699999809265137
1983-01-10,12.640000343322754
1983-01-11,12.430000305175781
1983-01-12,12.109999656677246
1983-01-13,12.119999885559082
1983-01-14,11.930000305175781
1983-01-15,11.6899995803833
1983-01-16,12
1983-01-17,12.199999809265137
1983-01-18,12.15999984741211
1983-01-19,11.899999618530273
1983-01-20,11.460000038146973
1983-01-21,11.789999961853027
1983-01-22,11.880000114440918
1983-01-23,11.739999771118164
1983-01-24,11.59000015258789
1983-01-25,11.460000038146973
1983-01-26,11.539999961853027
1983-01-27,11.670000076293945
1983-01-28,11.619999885559082
1983-01-29,11.489999771118164
1983-01-30,11.670000076293945
1983-01-31,11.989999771118164
1983-02-01,12.199999809265137
1983-02-02,11.880000114440918
1983-02-03,11.399999618530273
1983-02-04,11.420000076293945
1983-02-05,11.449999809265137
1983-02-06,11.619999885559082
1983-02-07,11.640000343322754
1983-02-08,11.619999885559082
1983-02-09,11.569999694824219
1983-02-10,11.510000228881836
1983-02-11,11.010000228881836
1983-02-12,11
1983-02-13,11.010000228881836
1983-02-14,10.710000038146973
1983-02-15,10.630000114440918
1983-02-16,10.680000305175781
1983-02-17,10.9399995803833
1983-02-18,10.890000343322754
1983-02-19,10.779999732971191
1983-02-20,10.720000267028809
1983-02-21,10.529999732971191
1983-02-22,10.199999809265137
1983-02-23,10.6899995803833
1983-02-24,10.770000457763672
1983-02-25,10.600000381469727
1983-02-26,10.4399995803833
1983-02-27,10.140000343322754
1983-02-28,10.109999656677246
1983-03-01,10
1983-03-02,9.739999771118164
1983-03-03,9.960000038146973
1983-03-04,10.279999732971191
1983-03-05,10.149999618530273
1983-03-06,9.970000267028809
1983-03-07,9.90999984741211
1983-03-08,9.720000267028809
1983-03-09,9.510000228881836
1983-03-10,9.5600004196167
1983-03-11,9.550000190734863
1983-03-12,9.680000305175781
1983-03-13,9.800000190734863
1983-03-14,9.800000190734863
1983-03-15,9.859999656677246
1983-03-16,9.920000076293945
1983-03-17,10.399999618530273
1983-03-18,10.449999809265137
